latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.600006,-9.0,84.0,0,Europe/London,GMT

time,temperature_2m (°C),relativehumidity_2m (%),surface_pressure (hPa),precipitation (mm),direct_radiation (W/m²),windspeed_10m (m/s),windgusts_10m (m/s)
2017-01-01T00:00,7.4,92,1020.0,0.00,0.0,2.32,4.20
2017-01-01T01:00,7.3,92,1019.6,0.00,0.0,2.30,4.30
2017-01-01T02:00,7.0,92,1018.9,0.00,0.0,2.20,4.30
2017-01-01T03:00,6.8,92,1018.9,0.00,0.0,2.20,4.40
2017-01-01T04:00,6.1,94,1018.6,0.00,0.0,2.10,4.60
2017-01-01T05:00,5.7,95,1018.4,0.00,0.0,2.01,4.50
2017-01-01T06:00,5.5,95,1018.1,0.00,0.0,2.50,4.40
2017-01-01T07:00,5.9,95,1017.8,0.00,0.0,2.91,5.00
2017-01-01T08:00,6.1,94,1018.0,0.00,0.0,3.21,5.30
2017-01-01T09:00,6.9,93,1017.8,0.00,16.0,3.30,5.70
2017-01-01T10:00,9.1,86,1017.7,0.00,101.0,3.40,5.90
2017-01-01T11:00,10.8,81,1017.4,0.00,160.0,3.89,6.10
2017-01-01T12:00,12.4,76,1016.5,0.00,219.0,4.19,6.50
2017-01-01T13:00,13.3,73,1015.4,0.00,180.0,4.38,6.80
2017-01-01T14:00,13.7,71,1014.4,0.00,113.0,4.83,7.10
2017-01-01T15:00,13.9,70,1013.6,0.00,89.0,5.10,7.10
2017-01-01T16:00,13.8,70,1013.1,0.00,59.0,4.66,7.00
2017-01-01T17:00,13.4,73,1013.0,0.00,31.0,4.46,6.60
2017-01-01T18:00,12.9,75,1012.4,0.00,0.0,4.54,6.40
2017-01-01T19:00,12.6,78,1011.9,0.10,0.0,4.75,7.30
2017-01-01T20:00,12.4,79,1011.3,0.10,0.0,5.07,7.70
2017-01-01T21:00,12.3,79,1010.7,0.00,0.0,5.51,8.50
2017-01-01T22:00,12.1,81,1010.1,0.00,0.0,6.20,9.40
2017-01-01T23:00,12.0,85,1009.3,0.00,0.0,6.95,10.70
2017-01-02T00:00,11.7,88,1008.3,0.00,0.0,7.62,11.60
2017-01-02T01:00,11.4,89,1007.5,0.00,0.0,7.79,12.00
2017-01-02T02:00,11.4,88,1006.5,0.00,0.0,7.87,12.50
2017-01-02T03:00,11.5,89,1005.9,0.10,0.0,8.23,13.10
2017-01-02T04:00,11.7,88,1005.3,0.40,0.0,8.42,14.00
2017-01-02T05:00,11.9,89,1004.6,0.90,0.0,8.94,15.30
2017-01-02T06:00,12.1,88,1003.9,1.00,0.0,9.44,15.80
2017-01-02T07:00,12.5,87,1003.7,0.50,0.0,9.21,15.70
2017-01-02T08:00,12.9,86,1003.8,0.10,0.0,9.71,15.60
2017-01-02T09:00,13.4,83,1003.9,0.10,6.0,9.63,16.10
2017-01-02T10:00,13.9,80,1004.9,0.80,8.0,9.98,16.30
2017-01-02T11:00,14.2,80,1005.2,1.00,12.0,10.07,17.20
2017-01-02T12:00,14.4,82,1004.7,1.60,2.0,10.51,18.60
2017-01-02T13:00,14.1,86,1004.1,1.70,1.0,10.29,17.40
2017-01-02T14:00,13.8,87,1003.7,2.00,0.0,10.88,19.00
2017-01-02T15:00,13.9,87,1003.7,1.90,10.0,11.17,19.10
2017-01-02T16:00,13.9,88,1003.7,1.90,2.0,10.66,19.20
2017-01-02T17:00,13.9,88,1004.0,1.70,6.0,10.18,19.00
2017-01-02T18:00,13.9,89,1004.3,1.80,0.0,9.05,18.20
2017-01-02T19:00,14.0,91,1005.1,3.30,0.0,8.64,15.90
2017-01-02T20:00,14.0,92,1005.9,3.20,0.0,7.80,14.80
2017-01-02T21:00,14.2,92,1006.5,2.50,0.0,7.60,13.50
2017-01-02T22:00,14.2,92,1007.5,2.10,0.0,7.12,12.60
2017-01-02T23:00,14.3,92,1007.9,0.10,0.0,7.32,11.90
2017-01-03T00:00,14.3,92,1008.1,0.00,0.0,7.26,11.50
2017-01-03T01:00,14.2,94,1008.1,0.00,0.0,6.97,10.90
2017-01-03T02:00,14.3,93,1008.2,0.00,0.0,6.43,10.20
2017-01-03T03:00,14.3,92,1008.7,0.10,0.0,6.11,9.80
2017-01-03T04:00,14.1,93,1009.1,0.20,0.0,5.65,9.60
2017-01-03T05:00,14.2,93,1009.3,0.20,0.0,5.04,8.90
2017-01-03T06:00,14.2,92,1010.0,0.20,0.0,4.61,8.00
2017-01-03T07:00,14.2,93,1010.6,0.60,0.0,4.54,7.50
2017-01-03T08:00,14.3,92,1011.6,0.50,0.0,4.30,7.20
2017-01-03T09:00,14.5,93,1012.6,0.40,13.0,4.14,7.20
2017-01-03T10:00,15.0,92,1013.9,0.30,30.0,4.47,7.30
2017-01-03T11:00,15.2,90,1014.6,0.30,42.0,4.20,7.20
2017-01-03T12:00,15.3,90,1014.4,0.40,44.0,4.59,7.40
2017-01-03T13:00,15.5,89,1014.4,0.20,35.0,5.02,8.00
2017-01-03T14:00,15.3,90,1014.1,0.50,39.0,5.35,8.30
2017-01-03T15:00,15.7,87,1014.3,0.00,150.0,4.94,8.00
2017-01-03T16:00,15.5,88,1014.5,0.00,57.0,4.73,7.90
2017-01-03T17:00,15.1,91,1014.8,0.00,19.0,4.30,7.20
2017-01-03T18:00,14.5,93,1015.5,0.00,0.0,3.90,6.40
2017-01-03T19:00,14.8,91,1015.9,0.00,0.0,3.24,6.00
2017-01-03T20:00,14.5,92,1016.3,0.00,0.0,3.14,4.90
